id,created_at,text
9.91213E+17,5/1/2018 7:09,NavyTimes: Join the Navy and go straight to O-6? It's close to becoming a reality. https://t.co/uW5JNXSMP2 https://t.co/CZDBpFjPnt
9.91213E+17,5/1/2018 7:09,NavyTimes: The Marine Corps had the highest increase in sexual assaults reports among the services… https://t.co/7TAPjilKkf
9.91213E+17,5/1/2018 7:09,"NavyTimes: RT MilitaryTimes: No more Jewish services FortCampbell, a congressman receives the Soldier's Medal, plus… https://t.co/TaYymviCy6"
9.91213E+17,5/1/2018 7:09,"NavyTimes: US service member killed, another wounded in Afghanistan https://t.co/BGtcBOof1X https://t.co/hIFgMJgeRl"
9.91213E+17,5/1/2018 7:09,"NavyTimes: Lawsuit calls acting VA Secretary Wilkie’s appointment illegal, demands he be removed immediately.… https://t.co/sOODMqKUmE"
9.91213E+17,5/1/2018 7:09,NavyTimes: VA hospital launches investigation after patient was put in an ‘unsanitary’ room https://t.co/vOWO15iTsD https://t.co/Au3JnoyFpT
9.91213E+17,5/1/2018 7:09,"NavyTimes: VA’s next big problem: Key health care program is running out of money again. 
https://t.co/G5HpQV7NDU https://t.co/j63b8Y2olT"
9.91213E+17,5/1/2018 7:09,NavyTimes: NATO backs Afghan leader’s offer of talks with the Taliban https://t.co/WGxHb9WeWj https://t.co/MguvFW92A2
9.91213E+17,5/1/2018 7:09,NavyTimes: Pompeo dives into NATO diplomacy as allies confront Russia https://t.co/LXLjHmpIS6 https://t.co/evLyzvtO9n
9.91213E+17,5/1/2018 7:09,NavyTimes: Russian foreign minister says US trying to ‘divide Syria into parts’ https://t.co/HY3hcXS50c https://t.co/DmSmfVOyDb
9.91213E+17,5/1/2018 7:09,NavyTimes: US reaffirms its ‘ironclad commitment’ to defend South Korea https://t.co/q0CJFaaoom https://t.co/ks89hZw7mp
9.91213E+17,5/1/2018 7:09,NavyTimes: Trump says Democrat should quit over VA nomination brouhaha https://t.co/iH4FTdxiFJ https://t.co/6r1HayD7XU
9.91213E+17,5/1/2018 7:09,"NavyTimes: Pompeo, in Saudi Arabia, talks tough on Iran, Gulf dispute https://t.co/ge10h2evJW https://t.co/z4DBWRaIOo"
9.91213E+17,5/1/2018 7:08,"Glyphosate Detected in Granola and Crackers, FDA Emails Show https://t.co/gKFuNuhklt food_democracy NonGMOProject"
9.91213E+17,5/1/2018 7:08,"Microplastics Pollute Rivers and Lakes, Too https://t.co/L1jvsGN52u HealTheBay savingoceans"
9.91213E+17,5/1/2018 7:08,'Salmon People: The Risks of Genetically Engineered Fish for the Pacific Northwest' Film Premieres… https://t.co/v0gmCNR2m6
9.91213E+17,5/1/2018 7:08,"Climate Change Could Bring Drought to Amazon, Greater Rain to Pacific and African Forests https://t.co/dVw7BZ6jDq T… https://t.co/T9BtF8Wzjs"
9.91213E+17,5/1/2018 7:08,"Yellowstone Grizzly Bears to Lose Endangered Species Protection, U.S. Fish &amp; Wildlife Service Confirms… https://t.co/43CYpfjdET"
9.91213E+17,5/1/2018 7:08,7 Gardener-Approved Must-Haves to Grow Your Own Food https://t.co/MWO207XKCL gardenorganicuk CDNGardening
9.91213E+17,5/1/2018 7:08,"Climate Change Could Bring Drought to Amazon, Greater Rain to Pacific and African Forests https://t.co/vSjZurxJQb R… https://t.co/rRquUHUuAo"
9.91213E+17,5/1/2018 7:08,7 Gardener-Approved Must-Haves to Grow Your Own Food https://t.co/13T9z6gY2u gardenknowhow DrBronner NPRFood AliceWaters RootsofChange
9.91213E+17,5/1/2018 7:08,"Glyphosate Detected in Granola and Crackers, FDA Emails Show https://t.co/DFmx4o05FV #glyphosate GMWatch OrganicCon… https://t.co/AidAMnINFs"
9.91213E+17,5/1/2018 7:08,"Microplastics Pollute Rivers and Lakes, Too https://t.co/YgzRbDoccB #microplastics storyofstuff Waterkeeper foodand… https://t.co/25c5C8fJNf"
9.91213E+17,5/1/2018 7:08,"Yellowstone Grizzly Bears to Lose Endangered Species Protection, U.S. Fish &amp; Wildlife Service Confirms… https://t.co/aMOEMSiLnG"
9.91213E+17,5/1/2018 7:08,'Salmon People: The Risks of Genetically Engineered Fish for the Pacific Northwest' Film Premieres… https://t.co/K0OUVZG93J
9.91213E+17,5/1/2018 7:08,9 Different Kinds of Salt: Which Is the Healthiest? - EcoWatch https://t.co/stPjha1y0W TrueFoodNow marionnestle
9.91213E+17,5/1/2018 7:08,9 Different Kinds of Salt: Which Is the Healthiest? https://t.co/UYMuQ80owM FoodRev gardenorganicuk foodrepublic
9.91212E+17,5/1/2018 7:07,climateprogress: Former oil spokesman who coined 'Lock her up' chant eyed for key EPA position… https://t.co/yMQa5JBgVE
9.91212E+17,5/1/2018 7:07,"climateprogress: As gas prices soar, Trump wants Americans to spend $100 billion more on driving… https://t.co/PwhkemzwmW"
9.91212E+17,5/1/2018 7:07,climateprogress: Pruitt is facing at least 10 ethics investigations as EPA watchdog announces new probe… https://t.co/0srNg3wQDI
9.91212E+17,5/1/2018 7:07,climateprogress: EPA grants 'financial hardship' waiver to oil refinery owned by billionaire Carl Icahn… https://t.co/0MpkFequZT
9.91212E+17,5/1/2018 7:04,"greenpeaceusa: and if you're feeling inspired to write your own, here are some ideas! &gt;&gt;&gt; https://t.co/a6t9I4Oajp"
9.91212E+17,5/1/2018 7:04,"greenpeaceusa: An ""Act of Blue"" is any action that pushes retailers, corporations and businesses to reduce single-u… https://t.co/yHXDaAh1yS"
9.91212E+17,5/1/2018 7:04,"greenpeaceusa: Will rising global consumption of paper products mean more local struggles to protect forests, wildl… https://t.co/IRrSh0k1fS"
9.91212E+17,5/1/2018 7:04,greenpeaceusa: Chase is feeling the heat in Seattle today thanks to our friends at 350_Seattle! https://t.co/Hwc6abbIfe
9.91212E+17,5/1/2018 7:04,"greenpeaceusa: On Thursday, an oil refinery exploded in Superior, Wisconsin — the same town to which Enbridge wants… https://t.co/ttI6QkQsjJ"
9.91212E+17,5/1/2018 7:04,Democratic candidate Kucinich releases single-payer healthcare proposal https://t.co/9Ow5vYxEP3 #BernieSanders
9.91212E+17,5/1/2018 7:04, Bullying a 'serious problem' for LGBT Scots https://t.co/hm2XPpMl8L #LGBT
9.91212E+17,5/1/2018 7:04,Transgender Woman Becomes Prom Queen in Wisconsin https://t.co/83m0gCL6Ww #LGBT
9.91212E+17,5/1/2018 7:04,"A year after taking down the government's climate change site, EPA has yet to 'fix it' https://t.co/Nk3ZDi0max #Environment"
9.91212E+17,5/1/2018 7:04,GOP civil war in Ohio threatens another special election loss https://t.co/4virGLMu9j #BernieSanders
9.91212E+17,5/1/2018 7:04,Janelle Monáe Coming Out As Pansexual Sends Word To Top Of Merriam-Webster's Search https://t.co/GqgavTOSNS #LGBT
