,meetup_0_description
1,"A club for for men* who believe in the following ideas.
*For men because we want to ensure that this club is about friendship and not romance - nothing wrong with romance, but there are plenty of other clubs for that purpose.
""Friendship is born when two people meet and say ""Oh! You too! I thought I was the only one."" CS Lewis
The real existential question confronting America is being able to differentiate between ""culturally"" American and ""legally"" American, not between African/Hispanic/Asian/LGBT/whatever Americans. What’s the difference? In the book, ""If Your Can Keep It,"" the author says on page 4, ""It is not enough for us merely to exist as a people, doing the minimum of simply obeying our laws and minding our own business. Much more is required of Americans if America is truly to be America.""
What is that ""much more.""
Here's my two cents:
A legal American is someone who by virtue of law, like being born in the US or being naturalized, is an American citizen.
A cultural American believes in and supports the precepts below that are foundational to being culturally American:
a) The Judeo-Christian morals and values upon which the United States were founded*: *This principle does not mean that a cultural American must follow a particular religion. But a cultural American must buy into the Judeo-Christian value set above all other value sets. Why? As Washington stated, ""Let us with caution indulge the supposition, that morality can be maintained without religion. Whatever may be conceded to the influence of refined education on minds of peculiar structure, reason and experience both forbid us to expect, that national morality can prevail in exclusion of religious principle.” George Washington, Farewell Address, 1796. Our political and cultural values, our God given rights, and our economic system, are all based on the Judeo-Christian value set. Pull out that foundation, and the American house will crumble in the winds of multiculturalism. As Lincoln said, ""A house divided against itself cannot stand,"" a clearly Judeo-Christian biblical reference.
John Adams said, ""The Ten Commandments and the Sermon on the Mount, that is my religion.""  And those two passages pretty much sum up Judeo-Christian values.  Of note - nothing in those passages about homosexuality - if you love America per the principles of this club, all are welcome.
b) A free market economy, with commerce being regulated according to the constitutional original intent: “Every dollar released from taxation that is spent or invested will help create a new job and a new salary. And these new jobs and new salaries can create other jobs and other salaries and more customers and more growth for an expanding American economy.” John F. Kennedy address to the American people 13 Aug 1962
c) A democratic and republican form of government, according to original constitutional intent and amendments, with the federal government limited to only its defined constitutional powers – all other powers being regulated to the states, per the 10th Amendment: ""If Congress can do whatever in their discretion can be done by money, and will promote the general welfare, the Government is no longer a limited one possessing enumerated powers, but an indefinite one subject to particular exceptions. It is to be remarked that the phrase out of which this doctrine is elaborated, is copied from the old articles of Confederation, where it was always understood as nothing more than a general caption to the specified powers, and it is a fact that it was preferred in the new instrument for that very reason as less liable than any other to misconstruction.” James Madison, Letter to Edmund Pendleton (21 Jan 1792)
d) That the English language is the dominant language in which education, commerce, and politics should be conducted.* *This principle does not mean in any way, shape, or form, that Americans should not learn about other languages and cultures - on the contrary. However, people who desire to become an American must make, assuming they have the mental capacity, an effort to obtain a conversant level, both written and spoken, in English. As George Washington said, “we shall welcome to a participation of all our rights and privileges, if by decency and propriety of conduct they appear to merit the enjoyment."" And as Theodore Roosevelt said, “We have room for but one language here, and that is the English language, for we intend to see that the crucible turns our people out as Americans, of American nationality, and not as dwellers in a polyglot boarding-house; and we have room for but one soul loyalty, and that is loyalty to the American people.” Letter by then former president Theodore Roosevelt (3 January 1919) to Charles Steward Davison. An essential element of being a part of any culture is being able to converse in the language of that culture.
e) A firm adherence to the 2nd Amendment right to bear arms, and a dedication to using force, in lawful ways and when necessary as a last resort, to support and defend the Constitution, our families, friends, fellow Americans, and all peace loving people of the world who are in danger from the wolves that try to deprive people of the self-evident truths of Natural Law - that all people are created equal before the law, endowed by their Creator with certain inalienable rights, that among these are life, liberty, and the pursuit of happiness
The time has come for all of us to realize that you, and I, no matter our skin color, cultural background, gender, religion, sexual orientation, etc., are just an American, nothing more, and nothing less.
The goal of this group is to enrich each other's understanding of the above principles, and to then promulgate them to the rest of American society.
Your humble servant and sheepdog (join and you'll find out what I mean by ""sheepdog,"" if you don't know Dave Grossman)
Justin American?"
6,"Come to a local Libertarian Meetup organized by the Libertarian Party of Bexar County hear speakers and share your opinions on today's political landscape. All are welcome!
www.LPBexar.org"
7,"We are Democrats, Republicans, Libertarians & Independents all working together to advance the cause of liberty and to remind our representatives to follow the Constitution!
This group is run locally.
This grassroots Meetup will help you network with other Liberty Lovers of Bexar County, and provide you with tools and information as well as activities to help with the local effort.
 ""He that would make his own liberty secure must guard even his enemy from oppresion; for if he violates this duty he estabalishes a precedent that will reach to himself."" -Thomas Paine, Common Sense 1776
  
 
 
 "
9,"We're a social organization dedicated to helping liberal women find one another in areas of the country where their liberal values are not respected. Our intention is to educate, support, and have fun. We hope grass roots movements will grow from our good times around the table."
10,"The object of this Meetup is to have moderated discussions of specific political issues. The members will decide the issue to be discussed at each meeting. The idea is not to have ""winners"" and ""losers"", but to increase understanding on both sides and maybe even find some common ground. Participants are expected to support their positions with facts and figures and with respect for those with whom they disagree."
12,"Join us if you are interested in grassroots efforts to promote Christian values of equal rights and opportunities for all people, regardless of race, sexual orientation, religious beliefs or financial status. Popular public/political rhetoric has defined Conservative Christianity as discriminating, exploitative, afraid of science, and favoring gun rights. The Bible does not support these views, yet because they are touted as Christian, millions of people have taken them at their word. We need to band together to define Christianity as inclusive and grace driven, and support politicians who have these values."
20,"San Antonio Feminists is a meet-up group that helps bring people together for both action and fun. We post events to help people stay politically active, as well as hosting events for meet-up members to enjoy each other's company and learn. We have dinners, happy hours, rallies, movies, and more. We welcome those new and experienced in feminist issues.
San Antonio Feminists is an intersectional feminist group that welcomes people of all ages, gender identities, sexual orientations, race, ethnicity, and religion (or lack there of). We like diverse opinions and experiences and hope to meet new people who are interested in making the world a better, more equitable place."
24,"Come over and have a drink and a snack with like minded folks. There is not an agenda but always a great time. You can bring any kind of beverage and or snack, plus we will have plenty on hand. We are a very active group who have been meting for about 11 years at the same time and same place. CCCPPC (Corpus Christi Progressive Populist Caucus meets at 6 pm before the meeting. You are welcome to one or both events. Held every third Thursday of the month
#Resist
 "
33,Meet Libertarians near you! Come to a local Libertarian Meetup to share your opinions on today's political climate and issues and learn how you can contribute to America's political future. Everyone interested in politics is welcome!
35,"PSN unite, locally.
Williamson county and surrounding areas. Meet with like-minded people and laugh, cry, scream, shout and have some beers (or club soda) over lunch! Get together in a comfortable setting, a safe place where you can hash out your frustrations over the state of the nation, our state, your neighborhood. Let's talk about what we are doing/can do to combat racism, sexism, ageism, and all the other isms that we are faced with today. Let's have the discussion about homophobia and xenophobia. Let's talk about how horrible Austin traffic is. Let's talk!
We are stronger together."
43,"If you want to plan and host and participate in major round table discussions about relevant topics that impact you, then you need to join us.
If you want to plan and host influential speakers from out-of-town and help live-stream their presentations then you need to join us.
 "
48,Social impact of women abuse women in rural parts of the country
49,"   Purpose Statement:     To seek, identify and elect a candidate in the Texas 25th US congressional district who espouses, adheres to and embodies conservative values and principles. Included in these values and principles are a commitment to smaller government, lower taxation, enforcement of the Constitution of the United States with a focus on the 9th and 10th amendments, the placement of Texans and Texas above the will of the federal government, and a focus on freedom and opportunity for all.  
  TX 25th VIDEO: "
50,"Founded in 1994, the Lake Travis Republican Club (LTRC) supports and promotes the election of Republicans to local, state and national office. We are committed to broadening the base of the Republican Party in Travis County. JOIN US AND MAKE A DIFFERENCE!  With 200+ members, the LTRC serves as a hub of local political activity in western Travis County. Get connected! Stay Engaged!
---------------------------------------------------------------------------
Join Us at Our Next Meeting!  Meetings are held the third Tuesday of the month from 11:30 am to 1:00 pm in the Waterfall Room of the Hills Country Club, located near Lakeway, Texas. The Hills Country Club address is 26 Club Estates Pkwy, Austin, TX 78738 . There are no meetings in June, July, August and December.  "
51,"It will be like 2nd wave Consciousness Raising groups, only without the homophobia and racism. 
If you want to (1) learn more about the history of the movement (2) work together to understand how those women built theory from scratch (3) support each other as we connect the personal and the political (4) take conscious and affirmative steps to make sure we are including women of all race, class, sexuality, and histories
"
